 p:0.5 p:0.555556 p:0.625 p:0.666667 p:0.769231 p:0.8 p:0.806452 p:0.813008 p:0.833333 p:0.847458 p:0.862069 p:0.877193 p:0.909091 p:1 p:1.11111 t 
1.86846  1.81568  1.87365  1.70088  1.94752  1.68251  1.97654  1.85436  1.90742  1.79379  1.80096  1.88953  1.89744  1.54211  2.09861  
1.9124  1.97513  1.81695  1.7856  1.99983  1.79823  1.96278  1.93119  1.84352  1.64192  1.92417  1.89243  1.95744  1.63991  2.16471  
1.82313  1.95352  1.8043  1.78086  2.00788  1.79653  1.92276  1.91266  1.85393  1.55892  1.79859  1.83786  2.01018  1.62243  2.05241  
1.84249  1.88259  1.83252  1.78556  2.01061  1.70508  1.92804  1.78764  1.88286  1.58699  1.68772  1.84226  2.02092  1.7089  1.9786  
1.83972  1.91002  1.87046  1.78381  1.97748  1.73735  1.91011  1.80056  1.88477  1.7056  1.73868  1.86555  1.97381  1.70402  1.98052  
1.84246  1.88885  1.85751  1.82147  1.94219  1.76859  1.93543  1.82332  1.87502  1.71862  1.76544  1.85442  1.97406  1.74204  1.97566  
1.86415  1.90156  1.8852  1.83186  1.89823  1.73369  1.85539  1.77  1.86536  1.70475  1.73424  1.83952  1.95818  1.76866  1.96418  
1.88093  1.89328  1.90986  1.85141  1.83712  1.71307  1.82292  1.71093  1.82284  1.72149  1.75972  1.83451  1.9274  1.76259  1.91591  
1.89827  1.88234  1.89789  1.858  1.85082  1.68896  1.81501  1.73021  1.80349  1.72055  1.77892  1.79359  1.9278  1.7514  1.94369  
1.87296  1.89781  1.90639  1.84091  1.84816  1.71916  1.82145  1.70621  1.77417  1.73103  1.7797  1.81433  1.89977  1.74836  1.92895  
1.90227  1.91799  1.93083  1.81156  1.82994  1.70761  1.82914  1.72042  1.7785  1.72811  1.7471  1.77136  1.88911  1.76091  1.9526  
1.90188  1.90982  1.94367  1.82682  1.84837  1.69708  1.81185  1.69836  1.78335  1.71966  1.73825  1.77914  1.88654  1.76383  1.96438  
1.899  1.91125  1.92569  1.84828  1.85479  1.69107  1.79285  1.70068  1.77873  1.73759  1.69682  1.79145  1.84467  1.77684  1.94725  
1.90787  1.90372  1.91754  1.85261  1.85311  1.71075  1.78338  1.70749  1.76607  1.72356  1.69007  1.77778  1.82332  1.76617  1.95044  
1.91547  1.89657  1.90278  1.8397  1.84716  1.7011  1.78219  1.72119  1.75252  1.74668  1.67899  1.77031  1.81941  1.75864  1.93135  
1.90623  1.90749  1.91104  1.81695  1.83046  1.67943  1.78273  1.74493  1.75798  1.74316  1.683  1.75831  1.79721  1.76647  1.9171  
1.91204  1.9027  1.90391  1.81807  1.82072  1.67509  1.78938  1.76546  1.75394  1.72384  1.68867  1.76238  1.785  1.7511  1.91727  
1.91583  1.9003  1.91207  1.81826  1.83504  1.6626  1.79117  1.76606  1.75996  1.722  1.69268  1.77227  1.78378  1.74988  1.91817  
1.89553  1.88501  1.89331  1.81953  1.85088  1.66547  1.78852  1.75434  1.77633  1.71625  1.70027  1.75921  1.75421  1.74822  1.92123  
1.87543  1.8851  1.89223  1.81716  1.84855  1.67457  1.8071  1.7526  1.77571  1.72414  1.70241  1.73671  1.75703  1.75153  1.89554  
1.88205  1.89312  1.90365  1.82458  1.8352  1.67139  1.79389  1.74812  1.77475  1.7342  1.7041  1.74836  1.77734  1.74629  1.89154  
1.88346  1.88934  1.89961  1.82059  1.83073  1.68917  1.80598  1.76673  1.78672  1.74132  1.69961  1.75806  1.76071  1.74862  1.88322  
1.87828  1.89066  1.89278  1.82434  1.81943  1.69106  1.81169  1.75352  1.78456  1.75617  1.71651  1.75169  1.75309  1.75611  1.89802  
1.87029  1.8864  1.8914  1.82507  1.82648  1.68481  1.82222  1.76381  1.78247  1.75899  1.72525  1.75388  1.76053  1.74774  1.89536  
1.87471  1.88956  1.88914  1.82849  1.81462  1.68662  1.826  1.7645  1.7827  1.75912  1.7217  1.75635  1.76888  1.74511  1.87962  
1.88427  1.89794  1.88746  1.83439  1.80348  1.67948  1.82589  1.76995  1.78375  1.76557  1.71283  1.74598  1.76466  1.75477  1.8697  
1.89105  1.91032  1.89981  1.83991  1.79188  1.67879  1.82791  1.76569  1.78235  1.75195  1.71762  1.75907  1.75779  1.75571  1.88202  
1.89226  1.90346  1.89203  1.84509  1.79229  1.66675  1.82258  1.78064  1.7698  1.76338  1.71218  1.76099  1.74105  1.75283  1.86471  
1.89884  1.90279  1.88993  1.84338  1.79161  1.67173  1.81403  1.78877  1.77307  1.75595  1.72017  1.76893  1.73745  1.76234  1.8753  
1.8947  1.90619  1.88704  1.82611  1.78971  1.67021  1.81206  1.79128  1.77671  1.76424  1.71559  1.76783  1.74412  1.76529  1.88799  
1.89413  1.90802  1.88384  1.8223  1.79509  1.67819  1.80553  1.78573  1.77316  1.76981  1.71328  1.76589  1.74402  1.77563  1.88492  
1.89175  1.90342  1.88261  1.81356  1.791  1.68523  1.79723  1.78449  1.76971  1.76395  1.71923  1.77033  1.74761  1.77422  1.89479  
1.89814  1.90823  1.88381  1.81618  1.77954  1.68493  1.8087  1.79201  1.76115  1.76084  1.73047  1.76969  1.75471  1.78408  1.89057  
1.90043  1.90762  1.87898  1.81906  1.78773  1.68816  1.80635  1.78607  1.76373  1.75641  1.72596  1.77189  1.75236  1.78769  1.8938  
1.90088  1.91207  1.87478  1.81883  1.78416  1.69256  1.79921  1.78497  1.76909  1.76258  1.72528  1.77046  1.75091  1.77292  1.8992  
1.90564  1.91739  1.8723  1.81751  1.77079  1.68922  1.79493  1.78567  1.76597  1.75384  1.73247  1.76968  1.75105  1.77826  1.9038  
1.90659  1.92263  1.8703  1.81142  1.7753  1.69144  1.79761  1.79203  1.76161  1.74922  1.73133  1.76676  1.74483  1.78339  1.89915  
1.90813  1.92604  1.86943  1.81428  1.77413  1.69766  1.79838  1.7946  1.76399  1.75235  1.73078  1.76364  1.74759  1.78242  1.90273  
1.90786  1.92471  1.87654  1.81275  1.77706  1.69541  1.79943  1.79111  1.75822  1.75706  1.72977  1.76571  1.74878  1.78673  1.90698  
1.91032  1.92567  1.87436  1.81354  1.77866  1.69794  1.78812  1.7989  1.75158  1.75008  1.72997  1.76933  1.74637  1.79168  1.90264  
1.91137  1.92563  1.8754  1.8126  1.78894  1.69955  1.78059  1.79493  1.75128  1.74978  1.72405  1.77422  1.75254  1.79539  1.89419  
1.90898  1.92416  1.87433  1.81669  1.79995  1.70371  1.78173  1.79883  1.7458  1.74583  1.72998  1.77064  1.75475  1.79028  1.89327  
1.90615  1.92032  1.8753  1.82243  1.80125  1.70992  1.77652  1.80684  1.74697  1.75446  1.72578  1.76778  1.7525  1.79109  1.89937  
1.90684  1.92412  1.87675  1.82387  1.79671  1.71283  1.77689  1.80495  1.74708  1.75517  1.71448  1.77248  1.75372  1.77671  1.89402  
1.90564  1.92195  1.87674  1.8179  1.79453  1.71169  1.77905  1.80387  1.74866  1.74762  1.72166  1.7743  1.75242  1.77272  1.88929  
1.90588  1.92283  1.8771  1.81841  1.7967  1.7159  1.78617  1.80533  1.74958  1.7453  1.72454  1.77986  1.75393  1.77582  1.90006  
1.9092  1.92432  1.87618  1.81749  1.7964  1.71329  1.785  1.80635  1.75247  1.74065  1.73161  1.78047  1.75968  1.7747  1.89693  
1.90465  1.92367  1.87287  1.81246  1.79815  1.71767  1.78893  1.81316  1.75649  1.73453  1.72728  1.78643  1.7617  1.76842  1.90201  
1.89911  1.92595  1.86491  1.81332  1.79849  1.7177  1.78273  1.81391  1.75147  1.72807  1.72311  1.78722  1.75784  1.76634  1.89134  
1.8999  1.92124  1.86531  1.81096  1.80543  1.7117  1.77173  1.81456  1.75113  1.72603  1.73075  1.78652  1.75838  1.7657  1.89358  
1.90464  1.92502  1.86757  1.80753  1.80853  1.71459  1.77255  1.8104  1.7552  1.7233  1.73508  1.78978  1.75653  1.76292  1.88956  
1.90705  1.92417  1.86573  1.80922  1.81424  1.71165  1.76765  1.79924  1.74859  1.73061  1.7319  1.78495  1.75174  1.76356  1.88931  
1.90445  1.92155  1.87188  1.80786  1.81464  1.70706  1.76566  1.79601  1.74271  1.73305  1.73005  1.77711  1.7583  1.76564  1.88432  
